entry_date,ticker,rank_with_corrupted,rank_excluding_distorting,delta,n_distorting_that_date
2025-06-20,DCMSHRIRAM.NS,71.0,71.0,0.0,1
2025-06-20,MFSL.NS,95.0,96.0,1.0,1
2025-06-20,ENDURANCE.NS,76.0,76.0,0.0,1
2025-06-27,AAVAS.NS,55.0,55.0,0.0,1
2025-06-27,SOLARINDS.NS,97.0,98.0,1.0,1
2025-06-27,LAURUSLABS.NS,90.0,90.0,0.0,1
2025-06-27,OBEROIRLTY.NS,50.0,50.0,0.0,1
2025-06-27,MAXHEALTH.NS,76.0,77.0,1.0,1
2025-06-27,BHARTIHEXA.NS,94.0,94.0,0.0,1
2025-06-27,REDINGTON.NS,95.0,95.0,0.0,1
2025-06-27,DCMSHRIRAM.NS,65.0,65.0,0.0,1
2025-06-27,HINDCOPPER.NS,41.0,41.0,0.0,1
2025-06-27,ABBOTINDIA.NS,79.0,79.0,0.0,1
2025-06-27,JIOFIN.NS,71.0,71.0,0.0,1
2025-07-04,RAINBOW.NS,72.0,72.0,0.0,1
2025-07-04,LLOYDSENGG.NS,73.0,73.0,0.0,1
2025-07-04,ASTERDM.NS,93.0,94.0,1.0,1
2025-07-04,CHENNPETRO.NS,57.0,57.0,0.0,1
2025-07-04,DCMSHRIRAM.NS,86.0,87.0,1.0,1
2025-07-11,GLENMARK.NS,94.0,94.0,0.0,1
2025-07-11,CARTRADE.NS,98.0,98.0,0.0,1
2025-07-25,IPCALAB.NS,51.0,51.0,0.0,1
2025-07-25,SHYAMMETL.NS,79.0,79.0,0.0,1
2025-08-01,NETWEB.NS,78.0,78.0,0.0,1
2025-08-01,SCHNEIDER.NS,96.0,96.0,0.0,1
2025-08-01,POWERINDIA.NS,97.0,97.0,0.0,1
2025-08-08,MEDANTA.NS,86.0,86.0,0.0,1
2025-08-18,ULTRACEMCO.NS,70.0,70.0,0.0,1
2025-08-18,M&M.NS,73.0,73.0,0.0,1
2025-08-18,HEROMOTOCO.NS,68.0,68.0,0.0,1
2025-08-18,DALBHARAT.NS,85.0,85.0,0.0,1
2025-08-18,ASIANPAINT.NS,59.0,58.0,-1.0,1
2025-08-25,JSL.NS,83.0,83.0,0.0,1
2025-08-25,UPL.NS,80.0,80.0,0.0,1
2025-09-02,ASTERDM.NS,92.0,92.0,0.0,1
2025-09-09,AZAD.NS,62.0,61.0,-1.0,1
2025-09-16,AADHARHFC.NS,83.0,84.0,1.0,1
2025-09-16,AMBER.NS,94.0,94.0,0.0,1
2025-09-16,DALBHARAT.NS,87.0,87.0,0.0,1
2025-09-23,MINDACORP.NS,50.0,50.0,0.0,1
2025-09-23,ADANIGREEN.NS,52.0,52.0,0.0,1
2025-09-23,KEC.NS,27.0,27.0,0.0,1
2025-09-30,BANKINDIA.NS,77.0,77.0,0.0,1
2025-10-08,SBICARD.NS,75.0,75.0,0.0,1
2025-10-08,ITI.NS,82.0,82.0,0.0,1
2025-10-15,ICICIGI.NS,53.0,53.0,0.0,1
2025-10-15,MAHABANK.NS,77.0,77.0,0.0,1
2025-10-15,PHOENIXLTD.NS,62.0,62.0,0.0,1
2025-10-23,IDFCFIRSTB.NS,78.0,78.0,0.0,1
2025-10-23,BANKINDIA.NS,88.0,88.0,0.0,1
2025-10-23,CEATLTD.NS,94.0,94.0,0.0,1
2025-10-23,AXISBANK.NS,79.0,79.0,0.0,1
2025-10-23,UCOBANK.NS,22.0,22.0,0.0,1
2025-10-23,CUB.NS,90.0,90.0,0.0,1
2025-10-23,MUTHOOTFIN.NS,95.0,95.0,0.0,1
2025-10-23,SHRIRAMFIN.NS,79.0,79.0,0.0,1
