ticker,entry_date,return_pct,net_return_pct,exit_reason
RECLTD.NS,2025-09-25,-0.41305796135909695,-0.7130579613590969,TIME_EXIT
ENDURANCE.NS,2025-01-29,-5.933890047481954,-6.233890047481954,STOP_HIT
CONCOR.NS,2024-08-27,-5.933890047481945,-6.233890047481945,STOP_HIT
GODREJPROP.NS,2024-09-25,-5.933890047481952,-6.233890047481951,STOP_HIT
ZYDUSLIFE.NS,2024-09-16,-5.933890047481957,-6.233890047481957,STOP_HIT
M&M.NS,2026-06-23,4.671912553913002,4.371912553913003,TIME_EXIT
BAJAJFINSV.NS,2025-09-09,-0.5776921937490764,-0.8776921937490765,TIME_EXIT
CUMMINSIND.NS,2025-01-28,7.417362559352431,7.117362559352431,TARGET_HIT
HDFCLIFE.NS,2025-06-27,-5.933890047481955,-6.233890047481955,STOP_HIT
SHYAMMETL.NS,2024-09-30,-5.933890047481944,-6.233890047481943,STOP_HIT
SHYAMMETL.NS,2025-11-06,-4.539497200047648,-4.8394972000476475,TIME_EXIT
3MINDIA.NS,2024-07-23,-5.933890047481943,-6.2338900474819425,STOP_HIT
TITAN.NS,2025-10-28,4.86144740382028,4.561447403820281,TIME_EXIT
CUPID.NS,2025-10-21,-5.93389004748195,-6.23389004748195,STOP_HIT
ADANIPORTS.NS,2026-04-27,7.417362559352431,7.117362559352431,TARGET_HIT
ASHOKLEY.NS,2025-02-03,7.417362559352432,7.117362559352432,TARGET_HIT
