ticker,episode_start_date,episode_end_date,category,category_changes,pattern_used,market_regime_verdict,sector_health_verdict,confidence_score,exit_reason,days_held,gross_return_pct,net_return_pct,r_multiple,n_signals_absorbed,risk_fraction,contribution,factor,log_growth
ASHOKLEY.NS,2025-11-13,2025-11-14,EXECUTE,EXECUTE,is_ascending_triangle_breakout,CAUTION,NEUTRAL,63.2,TARGET_HIT,1,5.1267847637678186,4.826784763767819,1.6456646340536323,1,1.0,0.016456646340536323,1.0164566463405362,0.016322703241202344
VIYASH.NS,2025-11-13,2025-11-18,EXECUTE,EXECUTE,is_ascending_triangle_breakout,CAUTION,WEAK,77.6,TARGET_HIT,3,14.630341134008612,14.330341134008611,1.445845857832209,1,1.0,0.014458458578322092,1.014458458578322,0.014354931765039842
AIAENG.NS,2025-11-13,2025-11-20,EXECUTE,EXECUTE,is_ascending_triangle_breakout,CAUTION,NEUTRAL,47.4,TARGET_HIT,5,11.672109924382848,11.372109924382848,1.4596702581527692,1,1.0,0.014596702581527692,1.0145967025815277,0.014491196176245398
COFORGE.NS,2025-12-04,2025-12-26,EXECUTE,"AVOID,EXECUTE",is_ascending_triangle_breakout,CAUTION,NEUTRAL,46.2,STOP_HIT,15,-7.139979907342352,-7.439979907342352,-1.0420169249624214,3,1.0,-0.010420169249624214,0.9895798307503758,-0.010474839325811091
SANSERA.NS,2025-11-27,2026-01-02,EXECUTE,"AVOID,EXECUTE",is_ascending_triangle_breakout,CAUTION,NEUTRAL,67.6,TARGET_HIT,25,14.777448071216616,14.477448071216616,1.6225332294162056,5,1.0,0.016225332294162058,1.0162253322941621,0.0160951083200057
AJANTPHARM.NS,2026-01-02,2026-01-05,EXECUTE,EXECUTE,is_ascending_triangle_breakout,UNFAVORABLE,WEAK,45.8,TARGET_HIT,1,7.914156626506018,7.614156626506018,1.5525570057510052,1,1.0,0.015525570057510053,1.01552557005751,0.015406281492355896
INDUSTOWER.NS,2026-01-09,2026-01-12,EXECUTE,EXECUTE,is_ascending_triangle_breakout,CAUTION,WEAK,58.6,TARGET_HIT,1,5.5906077038430535,5.290607703843054,1.8926771414156724,1,1.0,0.018926771414156725,1.0189267714141568,0.01874988847298324
IFCI.NS,2026-01-19,2026-01-20,EXECUTE,EXECUTE,is_ascending_triangle_breakout,CAUTION,NEUTRAL,46.8,TARGET_HIT,1,14.05465699944228,13.754656999442279,1.3018545624104025,1,1.0,0.013018545624104025,1.013018545624104,0.01293453272394317
ADANIPOWER.NS,2026-04-20,2026-04-21,EXECUTE,EXECUTE,is_ascending_triangle_breakout,UNFAVORABLE,WEAK,48.4,TARGET_HIT,1,16.841636444614128,16.541636444614127,1.8064913749093297,1,1.0,0.018064913749093296,1.0180649137490934,0.017903682057149775
NLCINDIA.NS,2026-04-20,2026-04-28,EXECUTE,EXECUTE,is_ascending_triangle_breakout,UNFAVORABLE,WEAK,45.8,TARGET_HIT,6,15.819511325129309,15.519511325129308,1.317434118877772,2,1.0,0.013174341188777722,1.0131743411887777,0.013088314297252008
CESC.NS,2026-05-05,2026-05-18,EXECUTE,"AVOID,EXECUTE",is_vcp_breakout,UNFAVORABLE,WEAK,63.6,STOP_HIT,9,-4.066205209793805,-4.366205209793804,-1.073778863712393,2,1.0,-0.010737788637123932,0.9892622113628761,-0.010795854731253088
GLAND.NS,2026-05-19,2026-05-20,EXECUTE,EXECUTE,is_ascending_triangle_breakout,CAUTION,WEAK,46.8,TARGET_HIT,1,13.108779679734958,12.808779679734958,1.7870528878803178,1,1.0,0.01787052887880318,1.0178705288788032,0.01771272819210004
ATGL.NS,2026-05-26,2026-05-29,EXECUTE,EXECUTE,is_ascending_triangle_breakout,UNFAVORABLE,NEUTRAL,45.4,TARGET_HIT,2,24.69274580335731,24.39274580335731,1.8769558963672253,1,1.0,0.018769558963672252,1.0187695589636723,0.018595584371383093
POLICYBZR.NS,2026-05-19,2026-06-03,EXECUTE,"AVOID,EXECUTE",is_ascending_triangle_breakout,CAUTION,NEUTRAL,60.2,STOP_HIT,10,-10.244789473264431,-10.544789473264432,-1.0292831786131773,2,1.0,-0.010292831786131773,0.9897071682138683,-0.010346169290859323
IFCI.NS,2026-06-03,2026-06-04,EXECUTE,EXECUTE,is_ascending_triangle_breakout,UNFAVORABLE,WEAK,48.8,TARGET_HIT,1,11.654654194142012,11.354654194142011,1.352319297749776,1,1.0,0.01352319297749776,1.0135231929774977,0.013432570691000272
INDIGO.NS,2026-06-24,2026-06-25,EXECUTE,EXECUTE,is_ascending_triangle_breakout,UNFAVORABLE,WEAK,56.2,TARGET_HIT,1,9.85814446437306,9.55814446437306,1.551126403346236,1,1.0,0.01551126403346236,1.0155112640334623,0.01539219408260739
NIVABUPA.NS,2026-05-11,2026-07-08,EXECUTE,"AVOID,EXECUTE",is_flat_base_breakout,CAUTION,NEUTRAL,41.4,TIME_EXIT,40,3.699633699633701,3.3996336996337013,0.44564799299725893,8,1.0,0.0044564799299725896,1.0044564799299727,0.004446579227246866
BIOCON.NS,2026-05-12,2026-07-09,EXECUTE,"AVOID,EXECUTE",is_ascending_triangle_breakout,CAUTION,WEAK,57.6,TIME_EXIT,40,0.4043042856254276,0.1043042856254276,0.011770076479685183,8,1.0,0.00011770076479685183,1.0001177007647968,0.00011769383860523632
JBMA.NS,2026-05-12,2026-07-09,EXECUTE,"AVOID,EXECUTE",is_ascending_triangle_breakout,CAUTION,NEUTRAL,56.8,TIME_EXIT,40,3.0808877264510137,2.780887726451014,0.3576192013184043,8,1.0,0.003576192013184043,1.003576192013184,0.003569812643237061
PTCIL.NS,2026-06-03,2026-07-24,EXECUTE,"AVOID,EXECUTE",is_ascending_triangle_breakout,UNFAVORABLE,NEUTRAL,44.6,TIME_EXIT,36,4.3150866252904665,4.015086625290467,0.45948604893361045,8,1.0,0.004594860489336105,1.004594860489336,0.004584336343551603
GRAVITA.NS,2026-07-09,2026-07-24,EXECUTE,"AVOID,EXECUTE,MONITOR",is_ascending_triangle_breakout,CAUTION,NEUTRAL,68.0,TIME_EXIT,11,0.5264945652173887,0.2264945652173887,0.02338576584680277,3,1.0,0.0002338576584680277,1.000233857658468,0.00023383031802816986
