ticker,episode_start_date,episode_end_date,category,category_changes,pattern_used,market_regime_verdict,sector_health_verdict,confidence_score,exit_reason,days_held,gross_return_pct,net_return_pct,r_multiple,n_signals_absorbed,consolidation_valid,consolidation_invalidated_reason,prior_trend_pct_gain,prior_trend_slope,prior_trend_bars,base_depth_pct,base_length_bars,contraction_slope,volume_dryup_ratio,volume_down_up_ratio,pivot_proximity,breakout_volume_ratio,dist_52w_high,dist_52w_high_invalidated_reason,rs_line_new_high,rs_line_invalidated_reason,rs_line_value,excluded_insufficient_history,RS_Rating,macd_signal
CLEAN.NS,2023-12-11,2023-12-13,AVOID,AVOID,,CAUTION,NEUTRAL,26.8,TARGET_HIT,2,6.366547516683509,6.066547516683509,1.1910983741160623,1,True,,10.22,2.5551,4.0,5.3,6.0,-9.2e-05,0.478,0.824,4.98,0.532,12.03,,False,,0.06674,False,9.0,
NMDC.NS,2023-12-11,2023-12-15,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,4,6.652840688491629,6.3528406884916295,1.1936331008724308,1,True,,19.17,1.4745,13.0,11.77,19.0,-0.00016,1.205,0.976,2.22,0.365,2.22,,False,,0.002845,False,75.0,
CHALET.NS,2023-12-11,2023-12-13,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,2,7.318245788734661,7.018245788734661,1.1987582118959081,1,True,,11.9,0.4409,27.0,6.3,6.0,-3.7e-05,2.78,0.342,1.54,5.72,5.06,,False,,0.028078,False,58.0,
NLCINDIA.NS,2023-12-11,2023-12-14,AVOID,AVOID,,CAUTION,NEUTRAL,27.4,TARGET_HIT,3,10.889366900466149,10.589366900466148,1.215562736252009,1,True,,47.26,2.78,17.0,18.08,15.0,0.000241,0.838,0.348,1.58,1.581,1.58,,True,,0.009177,False,87.0,
CHAMBLFERT.NS,2023-12-11,2023-12-20,AVOID,AVOID,,CAUTION,,0.0,STOP_HIT,7,-5.158424081625871,-5.4584240816258704,-1.0581572967349833,2,True,,12.4,2.4799,5.0,26.05,39.0,-5.8e-05,1.251,0.539,2.27,0.541,2.27,,False,,0.016581,False,46.0,
NIACL.NS,2023-12-11,2024-02-05,AVOID,"AVOID,MONITOR",,CAUTION,,0.0,TARGET_HIT,38,14.121584137335061,13.82158413733506,1.2234449055889867,8,True,,96.92,6.4612,15.0,14.32,7.0,2.6e-05,0.223,0.823,12.89,0.098,12.89,,False,,0.010866,False,91.0,
NHPC.NS,2023-12-11,2023-12-19,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,6,760.7752067787178,760.4752067787178,1.2495070817284022,2,True,,14.94,0.9959,15.0,18.34,13.0,-0.46577,2.687,0.69,3.88,0.933,99.79,,False,,0.003071,False,1.0,
CHENNPETRO.NS,2023-12-11,2024-01-10,AVOID,AVOID,,CAUTION,WEAK,28.8,TARGET_HIT,21,10.494049512903489,10.194049512903488,1.21426546305705,5,True,,15.88,3.9712,4.0,16.19,17.0,-0.000275,0.726,0.568,4.72,0.559,4.72,,False,,0.031947,False,94.0,
NH.NS,2023-12-11,2024-01-11,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,22,8.799190374800606,8.499190374800605,1.2073824426990523,5,True,,34.1,1.8944,18.0,12.11,14.0,-0.000167,1.136,0.466,10.95,1.184,10.95,,False,,0.055734,False,60.0,
NEWGEN.NS,2023-12-11,2024-01-01,AVOID,"AVOID,MONITOR",,CAUTION,,0.0,TARGET_HIT,14,10.595145799485476,10.295145799485475,1.2146064332575581,3,True,,27.9,2.7896,10.0,6.92,7.0,-0.000775,0.508,,3.78,0.428,3.78,,False,,0.035461,False,96.0,
CHOICEIN.NS,2023-12-11,2023-12-26,AVOID,AVOID,,CAUTION,,0.0,STOP_HIT,10,-4.242438700568717,-4.542438700568717,-1.0707140447214438,2,True,,15.35,0.6673,23.0,5.66,9.0,0.000254,1.905,1.161,1.63,1.354,1.63,,False,,0.011021,False,68.0,
NEULANDLAB.NS,2023-12-11,2024-01-03,AVOID,AVOID,,CAUTION,NEUTRAL,28.8,TARGET_HIT,16,10.829630163512418,10.529630163512417,1.2153727787248485,4,True,,12.05,4.0168,3.0,10.56,7.0,-0.000471,1.556,0.873,9.76,2.809,9.76,,False,,0.240733,False,94.0,
NETWEB.NS,2023-12-11,2023-12-12,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,1,9.753183986331356,9.453183986331355,1.2115510175420108,1,True,,12.8,2.5602,5.0,30.04,27.0,-0.00032,1.899,0.623,0.0,1.744,,INSUFFICIENT_HISTORY,,INSUFFICIENT_HISTORY,,True,,
CHOLAFIN.NS,2023-12-11,2023-12-14,AVOID,AVOID,,CAUTION,,0.0,STOP_HIT,3,-10.847503956059121,-11.147503956059122,-1.0276561318820656,1,True,,28.43,5.6856,5.0,15.43,22.0,-0.000584,3.796,1.352,0.61,4.978,6.21,,False,,0.05597,False,66.0,
CHOLAHLDNG.NS,2023-12-11,2024-01-29,AVOID,AVOID,,CAUTION,,0.0,TARGET_HIT,33,10.472246070617649,10.172246070617648,1.2141910629800674,7,True,,13.33,6.6643,2.0,19.23,30.0,-1.4e-05,0.646,0.541,15.0,0.79,21.95,,False,,0.048173,False,63.0,
NESTLEIND.NS,2023-12-11,2023-12-15,AVOID,AVOID,,CAUTION,,0.0,STOP_HIT,4,-2.831473479482566,-3.131473479482566,-1.105951901783245,1,True,,2.42,0.404,6.0,5.13,12.0,2.9e-05,1.588,0.644,0.53,0.877,0.53,,False,,0.057549,False,51.0,
